id_cosecha,id_tiempo_dw,id_vivero_dw,id_color_dw,id_tamano_dw,cantidad_paquetes,trabajador
229,29,2,2,2,15,Pedro Diaz
230,29,2,3,2,6,Pedro Diaz
231,29,2,4,2,24,Lucia Vega
232,29,2,1,2,20,Maria Rojas
233,30,1,1,3,14,Juan Perez
234,30,1,3,1,5,Juan Perez
235,30,1,2,2,23,Pedro Diaz
236,30,1,2,2,11,Maria Rojas
237,30,2,1,3,29,Juan Perez
238,30,2,3,1,17,Juan Perez
239,30,2,1,2,11,Lucia Vega
240,30,2,2,2,25,Lucia Vega
