id_cosecha,fecha,vivero,color,tamano_cm,cantidad_paquetes,trabajador
185,2026-03-01,Vivero Llagamarca 1,Rosado,50,,Lucia Vega
186,2026-03-01,Vivero Llagamarca 1,Rosado,80,29,Maria Rojas
187,2026-03-01,Vivero Llagamarca 1,Rosado,50,7,Lucia Vega
188,2026-03-01,Vivero Llagamarca 1,Rosado,80,21,Juan Perez
189,2026-03-01,Vivero Llagamarca 2,Rojo,80,15,Juan Perez
190,2026-03-01,Vivero Llagamarca 2,Rosad0,80,30,Juan Perez
191,2026-03-01,Vivero Llagamarca 2,Rojo,50,9,Lucia Vega
192,2026-03-01,Vivero Llagamarca 2,Amarillo,80,30,Maria Rojas
192,2026-03-01,Vivero Llagamarca 2,Amarillo,80,30,Maria Rojas
193,2026-03-04,Vivero Llagamarca 1,Blanco,60,9,Lucia Vega
194,2026-03-04,Vivero Llagamarca 1,Blanco,80,21,Pedro Diaz
195,2026-03-04,Vivero Llagamarca 1,Rojoo,60,10,Pedro Diaz
196,2026-03-04,Vivero Llagamarca 1,Rosado,50,30,Juan Perez
197,2026-03-04,Vivero Llagamarca 2,Rojo,80,16,Lucia Vega
198,2026-03-04,Vivero Llagamarca 2,Rojo,60,22,Lucia Vega
199,2026-03-04,Vivero Llagamarca 2,Blanco,60,17,Maria Rojas
200,2026-03-04,Vivero Llagamarca 2,Rojo,60,12,Juan Perez
201,2026-03-06,Vivero Llagamarca 1,Blanco,60,25,Pedro Diaz
202,2026-03-06,Vivero Llagamarca 1,Rojo,50,9,Lucia Vega
203,2026-03-06,Vivero Llagamarca 1,Blanco,50,9,Juan Perez
204,2026-03-06,Vivero Llagamarca 1,rojo,80,16,Pedro Diaz
205,2026-03-06,Vivero Llagamarca 2,Rosado,80,14,Maria Rojas
206,2026-03-06,Vivero Llagamarca 2,Rosado,50,,Maria Rojas
207,2026-03-06,Vivero Llagamarca 2,Rosado,50,7,Pedro Diaz
208,2026-03-06,Vivero Llagamarca 2,Blanco,50,6,Pedro Diaz
209,2026-03-08,Vivero Llagamarca 1,Rosado,80,21,Maria Rojas
210,2026-03-08,Vivero Llagamarca 1,Rojo,50,6,Lucia Vega
211,2026-03-08,Vivero Llagamarca 1,Amarillo,50,29,Maria Rojas
212,2026-03-08,Vivero Llagamarca 1,amarillo ,80,24,Lucia Vega
213,2026-03-08,Vivero Llagamarca 2,Amarillo,80,14,Juan Perez
214,2026-03-08,Vivero Llagamarca 2,Rosado,80,,Lucia Vega
215,2026-03-08,Vivero Llagamarca 2,Rosado,50,28,Maria Rojas
216,2026-03-08,Vivero Llagamarca 2,Rojo,60,12,Juan Perez
216,2026-03-08,Vivero Llagamarca 2,Rojo,60,12,Juan Perez
217,2026-03-14,Vivero Llagamarca 1,Blanco,80,22,Pedro Diaz
218,2026-03-14,Vivero Llagamarca 1,Amarillo,50,,Pedro Diaz
219,2026-03-14,Vivero Llagamarca 1,Amarillo,50,28,Maria Rojas
220,2026-03-14,Vivero Llagamarca 1,Blanco,80,12,Lucia Vega
221,2026-03-14,Vivero Llagamarca 2,Rojo,50,18,Maria Rojas
222,2026-03-14,Vivero Llagamarca 2,Blanco,50,17,Juan Perez
223,2026-03-14,Vivero Llagamarca 2,Amarillo,50,,Juan Perez
224,2026-03-14,Vivero Llagamarca 2,Amarillo,60,9,Juan Perez
225,2026-03-15,Vivero Llagamarca 1,rojo,80,7,Juan Perez
226,2026-03-15,Vivero Llagamarca 1,Blanco,50,22,Juan Perez
227,2026-03-15,Vivero Llagamarca 1,Rosado,50,12,Juan Perez
228,2026-03-15,Vivero Llagamarca 1,ROJO,80,25,Juan Perez
229,2026-03-15,Vivero Llagamarca 2,amarillo ,60,15,Pedro Diaz
230,2026-03-15,Vivero Llagamarca 2,Blanc0,60,6,Pedro Diaz
231,2026-03-15,Vivero Llagamarca 2,Rosado,60,24,Lucia Vega
232,2026-03-15,Vivero Llagamarca 2,ROJO,60,20,Maria Rojas
233,2026-03-11,Vivero Llagamarca 1,Rojo,80,14,Juan Perez
234,2026-03-11,Vivero Llagamarca 1,Blanco,50,5,Juan Perez
235,2026-03-11,Vivero Llagamarca 1,Amarillo,60,23,Pedro Diaz
236,2026-03-11,Vivero Llagamarca 1,Amarillo,60,11,Maria Rojas
237,2026-03-11,Vivero Llagamarca 2,Rojo,80,29,Juan Perez
238,2026-03-11,Vivero Llagamarca 2,Blanco,50,17,Juan Perez
239,2026-03-11,Vivero Llagamarca 2,Rojo,60,11,Lucia Vega
240,2026-03-11,Vivero Llagamarca 2,Amarillo,60,25,Lucia Vega
240,2026-03-11,Vivero Llagamarca 2,Amarillo,60,25,Lucia Vega
